,symbol,profile
exchange,PNM,New York Stock Exchange
industry,PNM,Utilities - Regulated
sector,PNM,Utilities
website,PNM,http://www.pnmresources.com
ceo,VSAR,Jay P. Shepard
companyName,VSAR,Versartis Inc.
description,VSAR,Versartis Inc is an endocrine-focused biopharmaceutical company initially developing long-acting recombinant human growth hormone for the treatment of growth hormone deficiency.
exchange,VSAR,Nasdaq Global Select
industry,VSAR,Biotechnology
sector,VSAR,Healthcare
website,VSAR,http://www.versartis.com
ceo,AT,James J. Moore
companyName,AT,Atlantic Power Corporation (Canada)
description,AT,Atlantic Power Corp is an independent electric power producer company that owns and operates a diverse fleet of power generation assets in the United States and Canada.
exchange,AT,New York Stock Exchange
industry,AT,Utilities - Independent Power Producers
sector,AT,Utilities
website,AT,http://www.atlanticpower.com
ceo,PACW,Matthew P. Wagner
companyName,PACW,PacWest Bancorp
description,PACW,"PacWest Bancorp is a bank holding company. It provides commercial banking services, including real estate, construction, and commercial loans."
exchange,PACW,Nasdaq Global Select
industry,PACW,Banks
sector,PACW,Financial Services
website,PACW,http://www.pacwestbancorp.com
ceo,MXL,Kishore Seendripu
companyName,MXL,MaxLinear Inc.
description,MXL,"MaxLinear Inc is a semiconductor company providing integrated, radio-frequency and mixed-signal integrated circuits for broadband communications and data center, metro and long-haul transport network applications."
exchange,MXL,New York Stock Exchange
industry,MXL,Semiconductors
sector,MXL,Technology
website,MXL,http://www.maxlinear.com
ceo,OLLI,Mark Butler
companyName,OLLI,Ollie's Bargain Outlet Holdings Inc.
description,OLLI,"Ollie's Bargain Outlet Holdings Inc is a retailer of brand name merchandise. It offers customers a selection of brand name products, including housewares, food, books and stationery, bed and bath, floor coverings, toys and hardware at reduced prices."
exchange,OLLI,NASDAQ Global Market
industry,OLLI,Retail - Defensive
sector,OLLI,Consumer Defensive
website,OLLI,http://www.ollies.us
ceo,SGYP,Troy Hamilton
companyName,SGYP,Synergy Pharmaceuticals Inc.
description,SGYP,Synergy Pharmaceuticals Inc is a manufacturer of pharmaceutical products in the United States. It develops drugs for the treatment of gastrointestinal disorders such as constipation and irritable bowel syndrome.
exchange,SGYP,Nasdaq Global Select
industry,SGYP,Drug Manufacturers
sector,SGYP,Healthcare
website,SGYP,http://www.synergypharma.com
ceo,LOCO,Stephen Sather
companyName,LOCO,El Pollo Loco Holdings Inc.
description,LOCO,"El Pollo Loco Holdings Inc through its subsidiary develops, franchises, licenses, and operates quick-service restaurants under the El Pollo Loco name."
exchange,LOCO,Nasdaq Global Select
industry,LOCO,Restaurants
sector,LOCO,Consumer Cyclical
website,LOCO,http://www.elpolloloco.com
ceo,RUSHA,W. M. Rush
companyName,RUSHA,Rush Enterprises Inc. Class A Common Stock
description,RUSHA,"Rush Enterprises Inc is a commercial vehicle dealerships operator. It sells buses and trucks, of various brands such as Peterbilt, Hino, Isuzu, Ford, IC Bus, and Blue Bird. It also offers used vehicles, aftermarket parts, and maintenance services."
exchange,RUSHA,Nasdaq Global Select
industry,RUSHA,Autos
sector,RUSHA,Consumer Cyclical
website,RUSHA,http://www.rushenterprises.com
ceo,APPN,Matthew W. Calkins
companyName,APPN,Appian Corporation
description,APPN,Appian Corp provides low-code software development platform as a service that enables organizations to rapidly develop powerful and unique applications.
exchange,APPN,NASDAQ Global Market
industry,APPN,Application Software
sector,APPN,Technology
website,APPN,http://www.appian.com
ceo,RHE,
companyName,RHE,Regional Health Properties Inc.
description,RHE,Regional Health Properties Inc is a self-managed healthcare real estate investment company. It invests primarily in real estate purposed for senior living and long-term healthcare through facility lease and sub-lease transactions.
exchange,RHE,NYSE American
industry,RHE,Health Care Providers
sector,RHE,Healthcare
website,RHE,http://www.regionalhealthproperties.com
ceo,AVY,Mitchell R. Butier
companyName,AVY,Avery Dennison Corporation
description,AVY,"Avery Dennison Corp is a manufacturer of miscellaneous business equipment. It is engaged in the production of pressure-sensitive materials, office products and a variety of tickets, tags, labels and other converted products."
exchange,AVY,New York Stock Exchange
industry,AVY,Industrial Products
sector,AVY,Industrials
website,AVY,http://www.averydennison.com
ceo,EGLT,Robert S. Radie
companyName,EGLT,Egalet Corporation
description,EGLT,"Egalet Corp is a specialty pharmaceutical company. It is engaged in developing and planning to commercialize proprietary, abuse-deterrent oral products for the treatment of pain and in other indications."
exchange,EGLT,NASDAQ Global Market
industry,EGLT,Biotechnology
sector,EGLT,Healthcare
website,EGLT,
ceo,WMS,D. Scott Barbour
companyName,WMS,Advanced Drainage Systems Inc.
description,WMS,"Advanced Drainage Systems Inc designs, manufactures and markets thermoplastic corrugated pipe and related water management products in North and South America and Europe. Group operates through two segments: Domestic and International."
exchange,WMS,New York Stock Exchange
industry,WMS,Autos
sector,WMS,Consumer Cyclical
website,WMS,http://www.ads-pipe.com
ceo,MCFT,Terry McNew
companyName,MCFT,MCBC Holdings Inc.
description,MCFT,MCBC Holdings Inc is a designer and manufacturer of inboard tournament ski boats and luxury performance V-drive runabouts under the MasterCraft brand and high-end saltwater fishing boats under the Hydra-Sports brand.
exchange,MCFT,NASDAQ Global Market
industry,MCFT,Autos
sector,MCFT,Consumer Cyclical
website,MCFT,http://www.mastercraft.com
ceo,DHT,Svein Moxnes Harfjeld / Trygve Preben Munthe
companyName,DHT,DHT Holdings Inc.
description,DHT,"DHT Holdings Inc is a crude oil tanker company and owns more than twenty crude oil tankers that are in operation. The company operates through its integrated management companies in Oslo, Norway and Singapore."
exchange,DHT,New York Stock Exchange
industry,DHT,Transportation & Logistics
sector,DHT,Industrials
website,DHT,http://www.dhtankers.com
ceo,AVA,Scott L. Morris
companyName,AVA,Avista Corporation
description,AVA,"Avista Corp is engaged in the utilities sector. Its business includes generation, transmission and distribution of natural gas to customers in the United States."
exchange,AVA,New York Stock Exchange
industry,AVA,Utilities - Regulated
sector,AVA,Utilities
website,AVA,http://www.avistacorp.com
ceo,WLK,Albert Chao
companyName,WLK,Westlake Chemical Corporation
description,WLK,"Westlake Chemical Corp is a manufacturer and supplier of basic chemicals, vinyls, polymers and fabricated products that enhance the daily lives of people around the planet. It operates in two principal business segments, Olefins and Vinyls."
exchange,WLK,New York Stock Exchange
industry,WLK,Chemicals
sector,WLK,Basic Materials
website,WLK,http://www.westlake.com
ceo,PSA,Ronald L. Havner
companyName,PSA,Public Storage
description,PSA,"Public Storage is a part of the real estate sector. It is engaged in the acquisition, development, ownership and operation of self-storage facilities."
exchange,PSA,New York Stock Exchange
industry,PSA,REITs
sector,PSA,Real Estate
website,PSA,http://www.publicstorage.com
ceo,AAWW,William J. Flynn
companyName,AAWW,Atlas Air Worldwide Holdings
description,AAWW,"Atlas Air Worldwide Holdings Inc is engaged in providing outsourced aircraft and aviation operating services. It operates a fleet of approximately 747 freighters and offers aircraft for domestic, regional & international cargo & passenger applications."
exchange,AAWW,Nasdaq Global Select
industry,AAWW,Transportation & Logistics
sector,AAWW,Industrials
website,AAWW,http://www.atlasair.com
ceo,WIX,Avishai Abrahami
companyName,WIX,Wix.com Ltd.
description,WIX,"Wix.com Ltd is a web development platform provider. Its tools allow users to perform various web-based activities such as selling goods, taking reservations, and scheduling and confirming appointments."
exchange,WIX,Nasdaq Global Select
industry,WIX,Online Media
sector,WIX,Technology
website,WIX,http://www.wix.com
ceo,USCR,William J. Sandbrook
companyName,USCR,U S Concrete Inc.
description,USCR,"US Concrete Inc is engaged in producing and providing ready-mixed concrete, aggregates and concrete-related products and services to the construction industry in the markets in the United States."
exchange,USCR,NASDAQ Capital Market
industry,USCR,Building Materials
sector,USCR,Basic Materials
website,USCR,http://www.us-concrete.com
ceo,INO,J. Joseph Kim
companyName,INO,Inovio Pharmaceuticals Inc.
description,INO,Inovio Pharmaceuticals Inc is a clinical stage biopharmaceutical company. It develops active DNA immunotherapies and vaccines in combination with proprietary electroporation delivery devices to prevent and treat cancers and infectious diseases.
exchange,INO,Nasdaq Global Select
industry,INO,Biotechnology
sector,INO,Healthcare
website,INO,http://www.inovio.com
ceo,NTB,Michael Collins
companyName,NTB,Bank of N.T. Butterfield & Son Limited (The) Voting
description,NTB,"Bank of N.T Butterfield & Son Ltd is a community bank providing international financial services. Its services include retail, private, corporate banking, treasury, custody, asset management and personal and institutional trust services."
exchange,NTB,New York Stock Exchange
industry,NTB,Banks
sector,NTB,Financial Services
website,NTB,http://www.butterfieldgroup.com
ceo,AAOI,Chih-Hsiang Thompson Lin
companyName,AAOI,Applied Optoelectronics Inc.
description,AAOI,"Applied Optoelectronics Inc is a vertically integrated provider of fiber-optic networking products,for four networking end-markets: internet data center, cable television, or CATV, telecommunications, or telecom, fiber-to-the-home, or FTTH."
exchange,AAOI,NASDAQ Global Market
industry,AAOI,Semiconductors
sector,AAOI,Technology
website,AAOI,http://www.ao-inc.com
ceo,ERI,Gary L. Carano
companyName,ERI,Eldorado Resorts Inc.
description,ERI,"Eldorado Resorts Inc is a gaming and hospitality company. It owns and operates gaming facilities located in Ohio, Louisiana, Nevada, Pennsylvania and West Virginia."
exchange,ERI,Nasdaq Global Select
industry,ERI,Travel & Leisure
sector,ERI,Consumer Cyclical
website,ERI,http://www.eldoradoresorts.com
ceo,FOSL,Kosta N. Kartsotis
companyName,FOSL,Fossil Group Inc.
description,FOSL,"Fossil Group Inc is engaged in designing, marketing and distribution of consumer fashion accessories. It offers men's and women's fashion watches and jewelry, handbags, small leather goods, belts, sunglasses, soft accessories and select apparel."
exchange,FOSL,Nasdaq Global Select
industry,FOSL,Manufacturing - Apparel & Furniture
sector,FOSL,Consumer Cyclical
website,FOSL,http://www.fossilgroup.com
ceo,STE,Walter M. Rosebrough
companyName,STE,STERIS plc
description,STE,"STERIS PLC is a provider of infection prevention and other procedural products and services. The Company's business segments are Healthcare Products, Healthcare Specialty Services, Life Sciences, and Applied Sterilization Technologies."
exchange,STE,New York Stock Exchange
industry,STE,Medical Instruments & Equipment
sector,STE,Healthcare
website,STE,http://www.steris.com
ceo,OSTK,Patrick M. Byrne
companyName,OSTK,Overstock.com Inc.
description,OSTK,"Overstock.com Inc is an online retailer which provides products and services through websites. It offers a broad range of products, including furniture and home decor, apparel and accessories, books, electronics, and other items."
exchange,OSTK,NASDAQ Global Market
industry,OSTK,Retail - Apparel & Specialty
sector,OSTK,Consumer Cyclical
website,OSTK,http://www.overstock.com
ceo,SCHE,
companyName,SCHE,Schwab Emerging Markets Equity
description,SCHE,"The investment seeks to track as closely as possible, before fees and expenses, the total return of the FTSE Emerging Index.
 The fund will invest at least 90% of its net assets (net assets plus borrowings for investment purposes) in these stocks, including depositary receipts representing securities of the index; such depositary receipts may be in the form of ADRs, GDRs and EDRs. It generally invests in stocks that are included in the FTSE Emerging Index. The index is comprised of large and mid capitalization companies in emerging market countries, as defined by the index provider."
exchange,SCHE,NYSE Arca
industry,SCHE,
sector,SCHE,
website,SCHE,http://www.csimfunds.com.
ceo,FOXF,Larry L. Enterline
companyName,FOXF,Fox Factory Holding Corp.
description,FOXF,"Fox Factory Holding Corp designs and manufactures recreational vehicles in the United States. Its products include bicycles, snowmobiles, mountain bikes, and motorcycles. Most of its revenue is acquired from the U.S market."
exchange,FOXF,Nasdaq Global Select
industry,FOXF,Autos
sector,FOXF,Consumer Cyclical
website,FOXF,http://www.ridefox.com
ceo,MDGS,Christopher Rowland
companyName,MDGS,Medigus Ltd.
description,MDGS,"Medigus Ltd, together with its subsidiaries, is a medical device group engaged in research and development of endoscopic procedures and devices. Its product includes SRS endoscopy systems for the treatment of gastroesophageal reflux disease."
exchange,MDGS,NASDAQ Capital Market
industry,MDGS,Medical Devices
sector,MDGS,Healthcare
website,MDGS,http://www.medigus.com
ceo,AZPN,Antonio J. Pietri
companyName,AZPN,Aspen Technology Inc.
description,AZPN,Aspen Technology Inc is engaged in providing process optimization and asset performance management software solutions. It has two operating segments including subscription and software and services.
exchange,AZPN,Nasdaq Global Select
industry,AZPN,Application Software
sector,AZPN,Technology
website,AZPN,http://www.aspentech.com
ceo,DCI,Tod E. Carpenter
companyName,DCI,Donaldson Company Inc.
description,DCI,"Donaldson Co Inc is a provider of industrial goods. It manufactures filtration systems such as dust, fume, and mist collectors."
exchange,DCI,New York Stock Exchange
industry,DCI,Industrial Products
sector,DCI,Industrials
website,DCI,http://www.donaldson.com
ceo,FTAI,
companyName,FTAI,Fortress Transportation and Infrastructure Investors LLC
description,FTAI,"Fortress Transportation and Infrastructure Investors LLC is an infrastructure and equipment leasing company. It leases aircrafts, shipping containers, support vessels and anchor handling tug supply vessels."
exchange,FTAI,New York Stock Exchange
industry,FTAI,Consulting & Outsourcing
sector,FTAI,Industrials
website,FTAI,http://www.ftandi.com
ceo,DSS,Jeffrey Ronaldi
companyName,DSS,Document Security Systems Inc.
description,DSS,Document Security Systems Inc is engaged in fraud and counterfeit protection for printed documents and digital information. It holds patents for optical deterrent technologies that provide protection of printed information.
exchange,DSS,NYSE American
industry,DSS,Business Services
sector,DSS,Industrials
website,DSS,http://www.documentsecurity.com
ceo,ONVO,Taylor J. Crouch
companyName,ONVO,Organovo Holdings Inc.
description,ONVO,Organovo Holdings Inc is a development-stage company. It is engaged in developing and commercializing functional three-dimensional human tissues.
exchange,ONVO,NASDAQ Global Market
industry,ONVO,Medical Diagnostics & Research
sector,ONVO,Healthcare
website,ONVO,http://www.organovo.com
ceo,KERX,Greg Madison
companyName,KERX,Keryx Biopharmaceuticals Inc.
description,KERX,"Keryx Biopharmaceuticals Inc focuses on developing medicines to people with kidney diseases. The marketed product of the company is auryxia tablet, which is a iron based medicine."
exchange,KERX,NASDAQ Capital Market
industry,KERX,Biotechnology
sector,KERX,Healthcare
website,KERX,http://www.keryx.com
ceo,AIZ,Alan B. Colberg
companyName,AIZ,Assurant Inc.
description,AIZ,Assurant Inc is a provider of specialized insurance products and related services in North America and selected other international markets.
exchange,AIZ,New York Stock Exchange
industry,AIZ,Insurance
sector,AIZ,Financial Services
website,AIZ,http://www.assurant.com
ceo,IRBT,Colin M. Angle
companyName,IRBT,iRobot Corporation
description,IRBT,"iRobot Corp designs and sells small, artificially intelligent consumer robots. The company's most successful products include its automatic Roomba vacuum and the floor-mopping Braava."
exchange,IRBT,Nasdaq Global Select
industry,IRBT,Computer Hardware
sector,IRBT,Technology
website,IRBT,http://www.irobot.com
ceo,SBLK,Petros Pappas
companyName,SBLK,Star Bulk Carriers Corp.
description,SBLK,"Star Bulk Carriers Corp is a shipping company that owns and operates dry-bulk vessels. Through its vessels the firm transports iron ore, coal, and grain around the world."
exchange,SBLK,Nasdaq Global Select
industry,SBLK,Transportation & Logistics
sector,SBLK,Industrials
website,SBLK,http://www.starbulk.com
ceo,CWST,John W. Casella
companyName,CWST,Casella Waste Systems Inc.
description,CWST,"Casella Waste Systems Inc is a vertically-integrated solid waste, recycling, and resource management services company. It provides resource management expertise and services to residential, commercial, municipal and industrial customers."
exchange,CWST,Nasdaq Global Select
industry,CWST,Waste Management
sector,CWST,Industrials
website,CWST,http://www.casella.com
ceo,BURL,Thomas A. Kingsbury
companyName,BURL,Burlington Stores Inc.
description,BURL,"Burlington Stores Inc is a retailer of everyday apparel at low prices. It offers apparel, including ladies sportswear, menswear, coats, and family footwear, as well as baby furniture, accessories, home décor and gifts."
exchange,BURL,New York Stock Exchange
industry,BURL,Retail - Defensive
sector,BURL,Consumer Defensive
website,BURL,http://www.burlingtonstores.com
ceo,LEG,Karl G. Glassman
companyName,LEG,Leggett & Platt Incorporated
description,LEG,"Leggett & Platt Inc is a manufacturer that conceives designs and produces engineered components and products found in homes, offices, retail stores, automobiles and commercial aircraft."
exchange,LEG,New York Stock Exchange
industry,LEG,Manufacturing - Apparel & Furniture
sector,LEG,Consumer Cyclical
website,LEG,http://www.leggett.com
ceo,COR,Paul E. Szurek
companyName,COR,CoreSite Realty Corporation
description,COR,"CoreSite Realty Corp is a fully integrated, self-administered and self-managed real estate investment trust. The Company is engaged in the business of owning, acquiring, constructing and operating data centers."
exchange,COR,New York Stock Exchange
industry,COR,REITs
sector,COR,Real Estate
website,COR,http://www.coresite.com
ceo,AAN,John W. Robinson
companyName,AAN,Aaron's Inc.
description,AAN,"Aaron's Inc is a retailer of furniture, consumer electronics, computers, appliances and household accessories. It also offers lease-purchase solutions to customers of traditional retailers and revolving credit products."
exchange,AAN,New York Stock Exchange
industry,AAN,Consulting & Outsourcing
sector,AAN,Industrials
website,AAN,http://www.aarons.com
ceo,SOI,Gregory A. Lanham
companyName,SOI,Solaris Oilfield Infrastructure Inc. Class A
description,SOI,"Solaris Oilfield Infrastructure Inc along with its subsidiaries manufactures and provides patented proppant management systems that unload, store and deliver proppant at oil and natural gas well sites."
exchange,SOI,New York Stock Exchange
industry,SOI,Oil & Gas - Services
sector,SOI,Energy
website,SOI,http://www.solarisoilfield.com
ceo,PRA,William Stancil Starnes
companyName,PRA,ProAssurance Corporation
description,PRA,"Proassurance Corp is a property and casualty insurance company that provides professional liability insurance for healthcare professionals and facilities, professional liability insurance for attorneys, and liability insurance for medical technology."
exchange,PRA,New York Stock Exchange
industry,PRA,Insurance - Property & Casualty
sector,PRA,Financial Services
website,PRA,http://www.proassurance.com
ceo,GPMT,John A. Taylor
companyName,GPMT,Granite Point Mortgage Trust Inc.
description,GPMT,"Granite Point Mortgage Trust Inc focuses primarily on directly originating, investing in and managing senior floating-rate commercial mortgage loans and other debt and debt-like commercial real estate investments."
exchange,GPMT,New York Stock Exchange
industry,GPMT,REITs
sector,GPMT,Real Estate
website,GPMT,http://www.gpmortgagetrust.com
ceo,EDZ,
companyName,EDZ,Direxion Emerging Markets Bear 3X Shares
description,EDZ,"The investment seeks daily investment results, before fees and expenses, of 300% of the inverse of the daily performance of the MSCI Emerging Markets IndexSM.
 The fund invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse or short leveraged exposure to the index equal to at least 80% of the fund's net assets (plus borrowing for investment purposes). The index is a free float-adjusted market capitalization weighted index that is designed to represent the performance of large- and mid-capitalizations securities across the 24 emerging market countries. The fund is non-diversified."
exchange,EDZ,NYSE Arca
industry,EDZ,
sector,EDZ,
website,EDZ,http://www.direxioninvestments.com/
ceo,NBLX,Terry R. Gerhart
companyName,NBLX,Noble Midstream Partners LP Representing Limited Partner Interests
description,NBLX,"Noble Midstream Partners LP provides crude oil, natural gas, and water-related midstream services through long-term, fixed-fee contracts. The company's operating segments include the Gathering system, Fresh water Delivery and Investment and others."
exchange,NBLX,New York Stock Exchange
industry,NBLX,Oil & Gas - Midstream
sector,NBLX,Energy
website,NBLX,http://www.nblmidstream.com
ceo,WMIH,William C. Gallagher
companyName,WMIH,WMIH Corp.
description,WMIH,"WMIH Corp is a reinsurance company. It owns a legacy reinsurance business that is currently operated in runoff mode by WM Mortgage Reinsurance Company, Inc."
exchange,WMIH,NASDAQ Capital Market
industry,WMIH,Insurance - Specialty
sector,WMIH,Financial Services
website,WMIH,http://www.wmih-corp.com
ceo,INT,Michael J. Kasbar
companyName,INT,World Fuel Services Corporation
description,INT,"World Fuel Services Corp is an energy management company. The company offers fuel and related products and services to commercial airlines, second and third tier airlines, regional and low cost carriers. Its segments are aviation, marine and land."
exchange,INT,New York Stock Exchange
industry,INT,Oil & Gas - Refining & Marketing
sector,INT,Energy
website,INT,http://www.wfscorp.com
ceo,UMBF,J. Mariner Kemper
companyName,UMBF,UMB Financial Corporation
description,UMBF,UMB Financial Corp is in the business of providing financial solutions in the United States. Its service portfolio comprises of banking and asset management solutions.
exchange,UMBF,Nasdaq Global Select
industry,UMBF,Banks
sector,UMBF,Financial Services
website,UMBF,http://www.umb.com
ceo,LPG,John C. Hadjipateras
companyName,LPG,Dorian LPG Ltd.
description,LPG,Dorian LPG Ltd is an LPG shipping company engaged in owning and operating liquefied petroleum gas tankers.
exchange,LPG,New York Stock Exchange
industry,LPG,Transportation & Logistics
sector,LPG,Industrials
website,LPG,http://www.dorianlpg.com
ceo,SOHU,Charles Zhang
companyName,SOHU,Sohu.com Inc.
description,SOHU,"Sohu.com Inc is a Chinese online media, search and game service group. The company provides comprehensive online products and services on PCs and mobile devices in the People's Republic of China."
exchange,SOHU,Nasdaq Global Select
industry,SOHU,Online Media
sector,SOHU,Technology
website,SOHU,http://www.sohu.com
ceo,IPHI,Ford G. Tamer
companyName,IPHI,Inphi Corporation $0.001 par value
description,IPHI,"Inphi Corp is engaged in designing, development and sale of high-speed analog connectivity components that operate to maintain, amplify and improve signal integrity in a wide variety of applications."
exchange,IPHI,New York Stock Exchange
industry,IPHI,Semiconductors
sector,IPHI,Technology
website,IPHI,http://www.inphi.com
ceo,FGEN,Thomas B. Neff
companyName,FGEN,FibroGen Inc
description,FGEN,"FibroGen Inc is a biopharmaceutical company. It is engaged in the discovery, development and commercialization of novel therapeutics to treat serious unmet medical needs."
exchange,FGEN,Nasdaq Global Select
industry,FGEN,Biotechnology
sector,FGEN,Healthcare
website,FGEN,http://www.fibrogen.com
ceo,BAP,Dionisio Romero Paoletti
companyName,BAP,Credicorp Ltd.
description,BAP,"Credicorp Ltd is a financial services company in Peru. It provides financial and health services and products. It operates in four segments namely Banking, Insurance, Pension fund and Investment banking."
exchange,BAP,New York Stock Exchange
industry,BAP,Banks
sector,BAP,Financial Services
website,BAP,http://www.credicorpnet.com
ceo,BC,Mark D. Schwabero
companyName,BC,Brunswick Corporation
description,BC,"Brunswick Corp is engaged in designing, manufacturing and marketing of recreation products including marine engines, boats, fitness and billiards equipment. Its products include sterndrive, yachts, deck boats, marine parts and cardiovascular equipment."
exchange,BC,New York Stock Exchange
industry,BC,Travel & Leisure
sector,BC,Consumer Cyclical
website,BC,http://www.brunswick.com
ceo,FTR,Daniel Mccarthy
companyName,FTR,Frontier Communications Corporation
description,FTR,"Frontier Communications Corp is a communication company providing phone, Internet, and other data transport services to residential and business customers. It offers a variety of services and products on a standalone basis and as packaged solutions."
exchange,FTR,Nasdaq Global Select
industry,FTR,Communication Services
sector,FTR,Communication Services
website,FTR,http://www.frontier.com
ceo,OCSL,Edgar Lee
companyName,OCSL,Oaktree Specialty Lending Corporation
description,OCSL,Oaktree Specialty Lending Corp is a specialty finance company. It focuses on providing customized one-stop credit solutions to companies with limited access to public or syndicated capital markets.
exchange,OCSL,Nasdaq Global Select
industry,OCSL,Credit Services
sector,OCSL,Financial Services
website,OCSL,https://www.oaktreespecialtylending.com
ceo,MBUU,Jack D. Springer
companyName,MBUU,Malibu Boats Inc.
description,MBUU,"Malibu Boats Inc is a designer, manufacturer and marketer of performance sport boats. Its boats are used for water sports, including water skiing, wakeboarding and wake surfing, as well as general recreational boating."
exchange,MBUU,NASDAQ Global Market
industry,MBUU,Autos
sector,MBUU,Consumer Cyclical
website,MBUU,http://www.malibuboats.com
ceo,ACHN,Milind S. Deshpande
companyName,ACHN,Achillion Pharmaceuticals Inc.
description,ACHN,Achillion Pharmaceuticals Inc is a biotechnology company. It is engaged in the discovery and development of innovative small-molecule drug therapies for infectious diseases and immune system disorders.
exchange,ACHN,Nasdaq Global Select
industry,ACHN,Biotechnology
sector,ACHN,Healthcare
website,ACHN,http://www.achillion.com
ceo,HTLF,Lynn B. Fuller
companyName,HTLF,Heartland Financial USA Inc.
description,HTLF,Heartland Financial USA Inc is a multi-bank holding company. The company through its subsidiaries provides commercial and retail banking to individuals and businesses in the communities across the United States.
exchange,HTLF,Nasdaq Global Select
industry,HTLF,Banks
sector,HTLF,Financial Services
website,HTLF,http://www.htlf.com
ceo,BLKB,Michael P. Gianoni
companyName,BLKB,Blackbaud Inc.
description,BLKB,"Blackbaud Inc provides cloud software, services, expertise, and data intelligence. It provides its services to nonprofits, foundations, corporations, education institutions, healthcare institutions, and the individual change agents who support them."
exchange,BLKB,Nasdaq Global Select
industry,BLKB,Application Software
sector,BLKB,Technology
website,BLKB,http://www.blackbaud.com
ceo,SNN,Olivier Bohuon
companyName,SNN,Smith & Nephew SNATS Inc.
description,SNN,"Smith & Nephew PLC designs, manufactures, and markets orthopedic devices and wound-care solutions. Its products include knee replacements, hip implants, nails, fixation devices, arthroscopy tools and others."
exchange,SNN,New York Stock Exchange
industry,SNN,Medical Devices
sector,SNN,Healthcare
website,SNN,http://www.smith-nephew.com
ceo,CUBI,Jay S. Sidhu
companyName,CUBI,Customers Bancorp Inc
description,CUBI,"Customers Bancorp Inc through its wholly-owned subsidiary Customers Bank provides financial products and services to small and middle-market businesses, not-for-profits, and consumers. It also provides lending to mortgage banking businesses."
exchange,CUBI,New York Stock Exchange
industry,CUBI,Banks
sector,CUBI,Financial Services
website,CUBI,http://customersbank.com
ceo,ENPH,Humberto Garcia / Badrinarayanan Kothandaraman
companyName,ENPH,Enphase Energy Inc.
description,ENPH,"Enphase Energy Inc delivers energy management technology for the solar industry. The company design, develop, manufacture and sell home energy solutions that connect solar generation, energy storage, and management on one intelligent platform."
exchange,ENPH,NASDAQ Global Market
industry,ENPH,Semiconductors
sector,ENPH,Technology
website,ENPH,http://www.enphase.com
ceo,CADE,
companyName,CADE,Cadence Bancorporation Class A
description,CADE,"Cadence Bancorp is a bank holding company and is the parent company of Cadence Bank, N.A. It offers broad range of banking and wealth management services to businesses, high net worth individuals, business owners and retail customers."
exchange,CADE,New York Stock Exchange
industry,CADE,Banks
sector,CADE,Financial Services
website,CADE,http://www.cadencebank.com
ceo,AJRD,Eileen Drake
companyName,AJRD,Aerojet Rocketdyne Holdings Inc.
description,AJRD,"Aerojet Rocketdyne Holdings Inc manufactures aerospace and defense products and systems which develops and manufactures propulsion systems for defense and space applications, and armaments for precision tactical and long-range weapon systems applications."
exchange,AJRD,New York Stock Exchange
industry,AJRD,Aerospace & Defense
sector,AJRD,Industrials
website,AJRD,http://www.aerojetrocketdyne.com
ceo,APAM,Eric R. Colson
companyName,APAM,Artisan Partners Asset Management Inc. Class A
description,APAM,Artisan Partners Asset Management Inc is a global investment management firm offering investment strategies in asset classes such as equity and bonds to its clients and investors. The firm has approximately $95 billion in total assets under management.
exchange,APAM,New York Stock Exchange
industry,APAM,Asset Management
sector,APAM,Financial Services
website,APAM,http://www.artisanpartners.com
ceo,DXGE,
companyName,DXGE,WisdomTree Germany Hedged Equity Fund
description,DXGE,"The investment seeks to track the price and yield performance, before fees and expenses, of the WisdomTree Germany Hedged Equity Index (the ""index"").
 The fund normally invests at least 80% of its total assets in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a dividend weighted index designed to provide exposure to Germany equity markets while at the same time neutralizing exposure to fluctuations of the value of the euro relative to the U.S. dollar. The fund is non-diversified."
exchange,DXGE,NASDAQ Global Market
industry,DXGE,
sector,DXGE,
website,DXGE,http://www.wisdomtree.com
ceo,PEI,Joseph F. Coradino
companyName,PEI,Pennsylvania Real Estate Investment Trust
description,PEI,"Pennsylvania Real Estate Investment Trust is a self-managed and self-administered REIT in the United States. It is engaged in the ownership, management, leasing, acquisition, redevelopment, development and disposition of retail shopping malls."
exchange,PEI,New York Stock Exchange
industry,PEI,REITs
sector,PEI,Real Estate
website,PEI,http://www.preit.com
ceo,HLIT,
companyName,HLIT,Harmonic Inc.
description,HLIT,"Harmonic Inc designs, manufactures and sells video infrastructure products and system solutions. It enables service providers to efficiently deliver the next generation of broadcast and on-demand services."
exchange,HLIT,Nasdaq Global Select
industry,HLIT,Communication Equipment
sector,HLIT,Technology
website,HLIT,http://www.harmonicinc.com
ceo,ST,Martha N Sullivan
companyName,ST,Sensata Technologies Holding N.V.
description,ST,"Sensata Technologies Holding N.V. is an industrial technology company. It produces sensors and controls for applications in automotive systems, thermal circuit breakers in aircraft and bimetal current and temperature control devices in electric motors."
exchange,ST,New York Stock Exchange
industry,ST,Computer Hardware
sector,ST,Technology
website,ST,http://www.sensata.com
ceo,IPAR,Jean Madar
companyName,IPAR,Inter Parfums Inc.
description,IPAR,"Inter Parfums Inc operates in the fragrance business and manufactures, markets and distributes fragrances and fragrance related products."
